CONTA;IC1;TIPO1;IC2;TIPO2;IC3;TIPO3;IC4;TIPO4;IC5;TIPO5;IC6;TIPO6;IC7;TIPO7;VALOR;TIPO_VALOR;NATUREZA_VALOR;MUNICIPIO;ANO;MES
622110000;20231;PO;1031.0;FS;10010000.0;FR;44903900.0;ND;0.0;0.0;0.0;0;0.0;0.0;150000.0;ending_balance;C;1702109EX;2021;01
622110000;20231;PO;1031.0;FS;10010000.0;FR;44905100.0;ND;0.0;0.0;0.0;0;0.0;0.0;50000.0;ending_balance;C;1702109EX;2021;01
622110000;20231;PO;1031.0;FS;10010000.0;FR;44905200.0;ND;0.0;0.0;0.0;0;0.0;0.0;100000.0;ending_balance;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33903099.0;ND;0.0;0.0;0.0;0;0.0;0.0;64403.45;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33903021.0;ND;0.0;0.0;0.0;0;0.0;0.0;3145.0;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33903016.0;ND;0.0;0.0;0.0;0;0.0;0.0;6745.0;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33903000.0;ND;0.0;0.0;0.0;0;0.0;0.0;2475369.09;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33901400.0;ND;0.0;0.0;0.0;0;0.0;0.0;15000.0;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33504100.0;ND;0.0;0.0;0.0;0;0.0;0.0;4500.0;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;33504100.0;ND;0.0;0.0;0.0;0;0.0;0.0;54000.0;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31911311.0;ND;0.0;0.0;0.0;0;0.0;0.0;27634.38;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31911300.0;ND;0.0;0.0;0.0;0;0.0;0.0;355819.52;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31909499.0;ND;0.0;0.0;0.0;0;0.0;0.0;40333.22;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31909400.0;ND;0.0;0.0;0.0;0;0.0;0.0;40333.22;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31901300.0;ND;0.0;0.0;0.0;0;0.0;0.0;1381326.49;period_change;C;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31901175.0;ND;0.0;0.0;0.0;0;0.0;0.0;215239.04;period_change;D;1702109EX;2021;01
622130100;20231;PO;1031.0;FS;10010000.0;FR;31901147.0;ND;0.0;0.0;0.0;0;0.0;0.0;17881.55;period_change;D;1702109EX;2021;01
622110000;20231;PO;1031.0;FS;10010000.0;FR;31901600.0;ND;0.0;0.0;0.0;0;0.0;0.0;5000.0;ending_balance;C;1702109EX;2021;01
